DATE,QTY,PRODUCT NAME,PRICE PER UNIT,TOTAL,PAYMENT METHOD,,,,
8/6/2025,1,Fork Oil,80,80,,,,,
8/6/2025,2,Oil Seal,80,160,,,,,
8/6/2025,1,CABLE TIE ,10,10,,,,,
8/6/2025,1,ARCK PULLEY SET ,1670,1670,,,,,
8/6/2025,2,BOLT 8X35,20,40,,,,,
8/6/2025,1,AXLE SLEEVE,150,150,,,,,
8/6/2025,1,NUT,3,3,,,,,
8/6/2025,1,BRAKE CABLE W-100,155,155,,,,,
8/6/2025,1,COOLANT 500ML,120,120,,,,,
8/6/2025,1,Silvestre AT Fully 800ml,260,260,,,,,
8/6/2025,1,SPARK PLUG ORDINARY,80,80,,,,,
8/6/2025,1,BRAKE PAD,120,120,,,,,
8/6/2025,1,EXHAUST GASKET,30,30,,,,,
8/6/2025,1,FULLY X 800ML,260,260,,,,,
8/6/2025,1,HANDLE GRIP,230,230,,,,,
8/6/2025,4,PLATE X BOLT,10,40,,,,,
8/6/2025,1,MULTI PURPOSE OIL 800ML,200,200,,,,,
8/7/2025,1,FULLY SYNTHETIC OIL 800ML,260,260,,,,,
8/7/2025,1,GEAR OIL (FULLY),95,95,,,,,
8/7/2025,1,4L BATTERY (THAIWORKZ),450,450,,,,,
8/7/2025,1, 250-14 TUBE,150,150,,,,,
8/7/2025,1,BRAKE CABLE,230,230,,,,,
8/7/2025,1,,150,150,,,,,
8/7/2025,1,HAND GRIP,220,220,,,,,
8/7/2025,1,Gear Oil FULLY,95,95,,,,,
8/7/2025,1,Silvestre AT Fully 800ml,260,260,,,,,
8/7/2025,1,2.50-17 TUBE,170,170,,,,,
8/7/2025,1,Repair Kit,120,120,,,,,
8/7/2025,2,Oil Seal,80,160,,,,,
8/7/2025,1,Fork Oil,80,80,,,,,
8/7/2025,1,Cable Tie,10,10,,,,,
8/7/2025,1,Castrol 800ML,315,315,,,,,
8/7/2025,1,Electrical Tape,30,30,,,,,
8/7/2025,1,,,,,,,,
8/7/2025,1,RUG,10,10,,,,,
8/7/2025,1,BRAKE PAD,100,100,,,,,
8/7/2025,1,RUG,10,10,,,,,
8/7/2025,1,CVT CLEANER,220,220,,,,,
8/7/2025,1,HI TEMP,30,30,,,,,
8/7/2025,1,AT MULTI 800ML,215,215,,,,,
8/7/2025,1,PULLEY SIDE OIL SEAL,100,100,,,,,
8/7/2025,1,GENUINE  BELT 2PH,560,560,,,,,
8/7/2025,1,SPEEDO CABLE,280,280,,,,,
8/7/2025,2,CHAIN,60,180,,,,,
8/7/2025,1,FLY BALL,335,335,,,,,
8/7/2025,1,HIRC Air Filter ,360,360,,,,,
8/7/2025,1,Brake Pad,120,120,,,,,
8/7/2025,1,Gear Oil (FULLY),95,95,,,,,
8/7/2025,1,FUSE BOX,80,80,,,,,
8/7/2025,1,70/80-14 W/ SEALANT,900,900,,,,,
8/7/2025,1,BRAKE MASTER,320,320,,,,,
8/7/2025,1,Air Filter (ORIG) TBEAT-FI,320,320,,,,,
8/7/2025,1,Lights,30,30,,,,,
8/7/2025,1,Silvestre AT Fully 800ml,260,260,,,,,
8/7/2025,2,Bolt PLATE,8,16,,,,,
8/7/2025,1,Air Filter (ORIG) N-MAX,330,330,,,,,
8/7/2025,1,SHELL 1L,355,355,,,,,
8/7/2025,1,Gear Oil (FULLY),95,95,,,,,
8/7/2025,1,Brake Shoe,150,150,,,,,
8/7/2025,1,Chain Set,600,600,,,,,
8/7/2025,1,Electrical Tape,30,30,,,,,
8/7/2025,1,AT MULTI 800ML,215,215,,,,,
8/7/2025,1,Sealant,120,120,,,,,
8/7/2025,1,2.75-17 TUBE,180,180,,,,,
8/7/2025,1,Throttle Cable,150,150,,,,,
8/7/2025,1,6201 BEARING,80,80,,,,,
8/8/2025,1,MIO 1 PULLEY SET,"1,250","1,250",,,,,
8/8/2025,1,MIO 1 FLY BALL,285,285,,,,,
8/8/2025,3,GREASE,10,30,,,,,
8/8/2025,2,BRAKE ROD,100,100,,,,,
8/8/2025,2,ALLEN BOLT 6X30,30,60,,,,,
8/8/2025,2,NUT,3,6,,,,,
8/8/2025,2,BRAKE PAD,120,270,,,,,
8/8/2025,2,BEARING 6004,80,80,,,,,
8/8/2025,1,FULLY 1L,280,280,,,,,
8/8/2025,1,OIL FILTER,50,50,,,,,
8/8/2025,1,SHELL 1L,360,360,,,,,
8/8/2025,1,OIL FILTER,50,50,,,,,
8/8/2025,6,ALLEN BOLT 6X30,25,150,,,,,
8/8/2025,4,ALLEN BOLT 8X35,30,120,,,,,
8/8/2025,1,MUSHROOM,250,250,,,,,
8/8/2025,1,BEARING 6004,80,80,,,,,
8/9/2025,1,GASKET ALL,100,100,,,,,
8/9/2025,1,HOSE,50,50,,,,,
8/9/2025,1,SEALANT,120,120,,,,,
8/9/2025,1,CLIP,20,20,,,,,
8/9/2025,1,HIRC PULLEY BALL ,365,365,,,,,
8/9/2025,1,CARB R150 ,"1,050","1,050",,,,,
8/9/2025,1,MULTI 1L,230,230,,,,,
8/9/2025,1,OIL SEAL,50,50,,,,,
8/9/2025,1,Silvestre AT Fully 800ml,260,260,,,,,
8/9/2025,2,FUSE,10,20,,,,,
8/9/2025,1,HIRC PULLEY BALL ,310,310,,,,,
8/9/2025,1,BRAKE PAD ORIG,312,312,,,,,
8/9/2025,1,HOSE,40,40,,,,,
8/9/2025,2,BRAKE PAD,200,400,,,,,
8/9/2025,1,BRAKE FLUID,60,60,,,,,
